"Tank.Name","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Responsible","Number.of.fish","Experiment.label","Food.label","Notes"
"J4-1_B15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_C1",27276,"03-Nov-2023","Tg(slc2a3b:EGFP)","GFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_C2",26478,"18-Jul-2023","ctgfa:R-NTR L13","RFP/+","RM/MHM","40","Stocks","SD","STOCKS"
"J4-1_C3",28767,"29-May-2024","pd96:ctgfa:GFP L9","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_C4",27603,"13-Dec-2023","hapln1a-mcherry-NTR","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_C5",29297,"15-Aug-2024","Tg(haplna:GFP)","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_C6",27117,"10-Oct-2023","hapl1b:eGFP","GFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_C7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_C8",28727,"16-May-2024","hsp70:hGNAO1-2A-EGFP-L6","GFP+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_C9",27604,"13-Dec-2023","AB*","+/+","MHM/RM","40","GENOTYPE","SF","Stocks"
"J4-1_C10",28728,"16-May-2024","hsp70:zgnao1-2A-EGFP-L3","GFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_D1",28807,"06-Jun-2024","slc1a3b:myrGFP-P2A-H2A-mCherry     ","GFP/+;RFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_D2",27275,"03-Nov-2023","j1766:GPNMB3:GFP +/-","GFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_D3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_D4",27116,"10-Oct-2023","GFAP-2A-tdTomato","RFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_D5",28673,"07-May-2024","AB*","+/+","MHM/RM","80","GENOTYPE","SD","stocks"
"J4-1_D6",26047,"18-May-2023","AB","Enter genotype","MHM/RM","30","Stocks","JA","Enter Notes"
"J4-1_D7",25920,"2-May-2023","AB","Enter genotype","MHM/RM","30","Stocks","JA","Enter Notes"
"J4-1_D8",27604,"13-Dec-2023","AB*","+/+","MHM/RM","40","GENOTYPE","SF","Stocks"
"J4-1_D9",29315,"21-Aug-2024","EK","+/+","MHM","40","GENOTYPE","SD","Stocks"
"J4-1_D10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_E1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_E2",27191,"20-Oct-2023","j1784:DCT-1:GFP +/-","GFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_E3",28768,"29-May-2024","GFPAP:GFP","GFP/+","MHM","40","GENOTYPE","SD","Stocks"
"J4-1_E4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_E5",28852,"11-Jun-2024","huc:GFP +/-","GFP/+","MHM/RM","40","GENOTYPE","SD","stocks"
"J4-1_E6",29210,"30-Jul-2024","b-actin:GCamp6","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_E7",28806,"06-Jun-2024","huc-mcherry-NTR-L1","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_E8",29133,"25-Jul-2024","huC:GCamp6s;mitfa","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_E9",28876,"14-Jun-2024","ubi:nRSG +/+","RFP/RFP","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_E10",29209,"30-Jul-2024","mbp:GFP","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_F1",28851,"11-Jun-2024","isl1:GFP +/-","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_F2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_F3",28893,"18-Jun-2024","Nestin:GFP","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_F4",29063,"12-Jul-2024","olig2:GFP +/+","GFP/GFP","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_F5",28894,"20-Jun-2024","NeuroD:GFP +/+","GFP/GFP","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_F6",29106,"17-Jul-2024","Tg(Nkx2.2:eGFP) +/-","GFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_F7",25697,"11-Apr-2023","ub:switch(GSR) GFP+/-","Enter genotype","MHM/RM","30","Stocks","JA","Enter Notes"
"J4-1_F8",27449,"28-Nov-2023","sox10:RFP;mbp:GFPcaax +/-","GFP/+;RFP/+","MHM/RM","40","BREEDING STOCK","SD","Stocks"
"J4-1_F9",23032,"3-Mar-2022","stl654:Tg(HS:twist1a-2A-GFP-L3A","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_G1",26888,"07-Sep-2023","rab5c:eGFP","GFP/+","MHM/RM","40","BREEDING STOCK","SD","stocks"
"J4-1_G2",26887,"07-Sep-2023","Tg(pdgfrb Gal4 UAS:RFP)","RFP/+","MHM/RM","40","BREEDING STOCK","SD","stocks"
"J4-1_G3",29299,"15-Aug-2024","Tg(actc1b:NTR-2A-mcherry) +/-","RFP/+","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_G4",27190,"20-Oct-2023","Sox2-2A-CreER CRE_______","+/- or +/+","MHM/RM","40","GENOTYPE","SD","genotype for stocks"
"J4-1_G5",27222,"26-Oct-2023","Sox2-2a-sfGFP","GFP/+","MHM/RM","40","GENOTYPE","SD","for Ridim"
"J4-1_G6",28250,"15-Mar-2024","prkdc-/-;il2rga-/-","-/-","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_G7",29107,"17-Jul-2024","stab1 +/- outcross","+/- or -/-","MHM/RM","40","GENOTYPE","SD","stocks, genotype"
"J4-1_G8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_G9",28250,"15-Mar-2024","prkdc-/-;il2rga-/-","-/-","MHM/RM","40","GENOTYPE","SD","Stocks"
"J4-1_G10",25880,"27-Apr-2023","ctgfa+/-;prkdc;il2rga-/- x prkdc;il2rga-/-","Enter genotype","MHM/RM","30","Enter Experiment Label","Enter food label","ctgfa+/-;skid-/- geno confirmed"
"J4-2_A1",24772,"6-Dec-2022","mpeg1.1-2A-CreERT2-L1 outx ubi:nRSG","nR/+; JF/+","DNK","15","Breeding stock","JA","JF+ from cross 3 and 4"
"J4-2_A2",27803,"16-Jan-2024","Tg(mpeg1.1:CreERT2-L8); nRSG","Cre+","DNK/MHM","10","BREEDING STOCK","SD","Breeding stock"
"J4-2_A3",26942,"13-Sep-2023","Tg(mpeg1.1:YFP);Tg(mfap4:tdTomato-CAAX)","YFP/+;tdTom/+","DNK/MHM","15","BREEDING STOCK","SD","Breeding stock"
"J4-2_A4",26940,"13-Sep-2023","Tg(tnfa:emGFP);Tg(mfap4:tdTomato-CAAX) x tcim dhet","emGFP/+;tdTom/+","DNK/MHM","24","BREEDING STOCK","SD","tdTom+"
"J4-2_A5",28750,"21-May-2024","Tg(lck:lck-eGFP) inx","GFP?","DNK/MHM","40","GENOTYPE","SD","Genotype for GFP"
"J4-2_A6",24770,"6-Dec-2022","Tg(lck:NLS-mCherry;cmlc2:EGFP)","GFP/+","DNK","30","Breeding stock","JA","cmlc2:EGFP+"
"J4-2_A7",28845,"10-Jun-2024","tcima/b het outx tcima/b mutant","Enter genotype","DNK/MHM","20","GENOTYPE","SD","For breeding stocks and reviewer experiments "
"J4-2_A8",28845,"10-Jun-2024","tcima/b het outx tcima/b mutant","Enter genotype","DNK/MHM","40","GENOTYPE","SD","For breeding stocks and reviewer experiments "
"J4-2_A9",25544,"27-Mar-2023","Tg(actb2:membrane-Citrine); tcima/b het","Citrine/+; a/+; b/+","DNK","30","Breeding stock","JA","cmlc2:EGFP- ; EGFP+"
"J4-2_A10",26750,"22-Aug-2023","tcima-EGFP F0 #5 outx Tu","JF/+","DNK/MHM","4","BREEDING STOCK","SD","Breeding stock"
"J4-2_A11",25761,"17-Apr-2023","Tg(mpeg1.1:YFP); zfp36l1a/b het outx AB","YFP/+; a/+; b/+","DNK","30","BREEDING STOCK","JA","YFP+"
"J4-2_A12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_A13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_A14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_A15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B1",28689,"07-May-2024","Tg(hsp70: hSPP1-2A-EGFP)-L1","??","DNK/MHM","1","CROSS TO MAKE LINE","SD","Lens GFP+"
"J4-2_B2",28690,"07-May-2024","Tg(hsp70: hSPP1-2A-EGFP)-L2","??","DNK/MHM","6","CROSS TO MAKE LINE","SD","Lens GFP+"
"J4-2_B3",28691,"07-May-2024","Tg(hsp70: hSPP1-2A-EGFP)-L3","??","DNK/MHM","3","BREEDING STOCK","SD","Lens GFP+"
"J4-2_B4",29142,"23-Jul-2024","Tg(hsp70:zspp1-2A-EGFP-L1)","GFP/+","DNK/MHM","4","GENOTYPE","SD","F1"
"J4-2_B5",28158,"05-Mar-2024","pCS2-hsp70:EGFP-2A-3xFlag-tcima injected","GFP+","DNK/MHM","46","CROSS TO MAKE LINE","SD","GFP PCR+"
"J4-2_B6",29197,"30-Jul-2024","Tg(hsp70: zspp1-2A-EGFP-L2) F1","GFP/+","DNK/MHM","17","GENOTYPE","SD","Lens GFP+"
"J4-2_B7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B10",28955,"25-Jun-2024","Tg(mpeg1.1:YFP);tcima/b het outx tcima/b mut","a/+;b/+","DNK/MHM","10","FOR SURGERY","SD","YFP+"
"J4-2_B11",28955,"25-Jun-2024","Tg(mpeg1.1:YFP);tcima/b het outx tcima/b mut","a/a;b/b","DNK/MHM","10","FOR SURGERY","SD","YFP+"
"J4-2_B12",28160,"05-Mar-2024","pCS2-hsp70:tcima-3xFlag-2A-EGFP injected","GFP+","DNK/MHM","1","CROSS","SD","Line 1"
"J4-2_B13",28291,"19-Mar-2024","pCS2-hsp70:zspp1-2A-EGFP injected","GFP+","DNK/MHM","2","CROSS","SD","Line 1 and Line 2"
"J4-2_B14",28061,"27-Feb-2024","Tg(mpeg1.1:tdTomato) inx injected with pCS2-mpeg1.1: tcima-EGFP","tdTom+/?","DNK/MHM","1","Line 1","SD","tdTom+, GFP PCR+"
"J4-2_B15",28063,"27-Feb-2024","Tg(mpeg1.1:tdTomato) inx injected with pCS2-hsp70: hSPP1-2A-EGFP","tdTom?","DNK/MHM","1","Line 1","SD","tdTom?, GFP PCR+"
"J4-2_C1",27872,"31-Jan-2024","Sox2-2a-sfGFP","GFP/+","MHM/RM","40","GENOTYPE","SF","for Ridim"
"J4-2_C2",28791,"04-Jun-2024","Tg(mpeg1.1:tdTomato); Tg(gfap:EGFP)","GFP-/+, tdTom/+","DNK/MHM","40","FOR SURGERY","SD","For tissue clearing "
"J4-2_C3",28958,"25-Jun-2024","Tg(mpeg1.1:NTR-IRES-EGFP) Tg+","NTR/+","DNK/MHM","40","FOR TRANSPLANTS","SD","cmlc2:EGFP+, for clutchmate transplants "
"J4-2_C4",28957,"25-Jun-2024","Tg(actb2:membrane-Citrine) ","Citrine/+","DNK/MHM","10","FOR TRANSPLANTS","SD","Citrine+, for clutchmate transplants"
"J4-2_C5",29031,"08-Jul-2024","Uninjected transplant fish (Tg-)","Cit-; NTR-","DNK/MHM","30","GENOTYPE , FOR SURGERY , FOR TRANSPLANTS","SD","For crispant transplants "
"J4-2_C6",29032,"08-Jul-2024","Uninjected transplant fish (Citrine+)","Citrine+; NTR-","DNK/MHM","30","GENOTYPE , FOR SURGERY , FOR TRANSPLANTS","SD","For crispant transplants "
"J4-2_C7",29033,"08-Jul-2024","Uninjected transplant fish (NTR+)","Citrine-;NTR+","DNK/MHM","40","GENOTYPE , FOR SURGERY","SD","For crispant transplants "
"J4-2_C8",29034,"08-Jul-2024","Transplant fish injected with tcima/b dgRNP (Tg-)","Citrine-;NTR-","DNK/MHM","20","GENOTYPE , FOR TRANSPLANTS , FOR SURGERY","SD","For crispant transplants "
"J4-2_C9",29035,"08-Jul-2024","Transplant fish injected with tcima/b dgRNP (Citrine+)","Citrine+; NTR-","DNK/MHM","34","FOR TRANSPLANTS","SD","For crispant transplants "
"J4-2_C10",29036,"08-Jul-2024","Transplant fish injected with tcima/b dgRNP (NTR+)","Citrine-;NTR+","DNK/MHM","27","FOR TRANSPLANTS","SD","For crispant transplants "
"J4-2_D1",29034,"08-Jul-2024","Transplant fish injected with tcima/b dgRNP (Tg-)","Citrine-;NTR-","DNK/MHM","20","GENOTYPE , FOR TRANSPLANTS , FOR SURGERY","SD","For crispant transplants "
"J4-2_D2",29035,"08-Jul-2024","Transplant fish injected with tcima/b dgRNP (Citrine+)","Citrine+; NTR-","DNK/MHM","20","FOR TRANSPLANTS","SD","For crispant transplants "
"J4-2_D3",29036,"08-Jul-2024","Transplant fish injected with tcima/b dgRNP (NTR+)","Citrine-;NTR+","DNK/MHM","24","FOR TRANSPLANTS","SD","For crispant transplants "
"J4-2_D4",29140,"23-Jul-2024","Uninjected transplant fish (NTR+)","NTR/+","DNK/MHM","40","GENOTYPE","SD","For transplants "
"J4-2_D5",29141,"23-Jul-2024","Uninjected transplant fish (Citrine+)","Citrine/+","DNK/MHM","40","GENOTYPE","SD","For transplants "
"J4-2_D6",29370,"27-Aug-2024","Tg(mpeg:NTR-IRES-EGFP)","NTR/+","DNK/MHM","30","GENOTYPE","SD","For transplants "
"J4-2_D7",29371,"27-Aug-2024","Tg(actb2:membrane-Citrine) ","Citrine/+","DNK/MHM","30","GENOTYPE","SD","For transplants "
"J4-2_D8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_D9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_D10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_E1",27886,"30-Jan-2024","Tg(mpeg1.1:YFP)","YFP/+","DNK/MHM","40","BREEDING STOCK","SD","YFP+, for breeding stock"
"J4-2_E2",28748,"21-May-2024","Tg(mpeg1.1:tdTomato)","tdTom+/?","DNK/MHM","40","BREEDING STOCK","SD","tdTomato+"
"J4-2_E3",27885,"30-Jan-2024","Tg(mpeg1.1:NTR-IRES-EGFP)","NTR/+","DNK/MHM","40","BREEDING STOCK","SD","cmlc2:EGFP+; for breeding stock"
"J4-2_E4",28792,"04-Jun-2024","Tg(hsp70:TCIM-2A-EGFP-L3) Tg+","GFP/+","DNK/MHM","34","BREEDING STOCK","SD","For breeding stock "
"J4-2_E5",28793,"04-Jun-2024","Tg(actb2:membrane-Citrine) ","Citrine/+","DNK/MHM","40","BREEDING STOCK","SD","For breeding stock"
"J4-2_E6",26941,"13-Sep-2023","Tg(lyz:EGFP)","EGFP/+","DNK/MHM","40","BREEDING STOCK","SD","For breeding stock"
"J4-2_E7",28749,"21-May-2024","Tg(rag2:eGFP) inx","eGFP/?","DNK/MHM","40","GENOTYPE","SD","Genotype for GFP"
"J4-2_E8",27962,"13-Feb-2024","Tg(ptprc:DsRed);nacre inx","DsRed/?; nacre?/?","DNK/MHM","30","BREEDING STOCK","SD","DsRed+, disinfected from Q, from Traver lab"
"J4-2_E9",28954,"26-Jun-2024","Tg(fli1:GFP) inx","GFP/+?","DNK/MHM","40","BREEDING STOCK","SD","From Stratman lab, GFP+, one tank for tissue clearing and one tank for breeding stock)"
"J4-2_E10",26036,"16-May-2023","zfp36l1a-/+;zfp36l1b-/- outx AB","a/+;b/+","DNK","30","BREEDING STOCK","JA","Breeding stock"
"J4-2_F1",27363,"14-Nov-2023","tcima/b het outx AB","a/+; b/+","DNK/MHM","40","BREEDING STOCK","SD","For breeding stock "
"J4-2_F2",28845,"10-Jun-2024","tcima/b het outx tcima/b mutant","a/a;b/b","DNK/MHM","20","BREEDING STOCK","SD","For breeding stocks and reviewer experiments "
"J4-2_F3",27802,"16-Jan-2024","Tg(mpeg1.1:YFP) outx tcima/b mutant","a/+; b/+; YFP/+","DNK/MHM","40","BREEDING STOCK","SD","Breeding stock, YFP+"
"J4-2_F4",28956,"25-Jun-2024","Tg(mpeg1.1:tdTomato);tcima/b het","a/+,b/+,tdTom+","DNK/MHM","30","BREEDING STOCK","SD","tdTom+, for breeding stock"
"J4-2_F5",28687,"07-May-2024","Tg(ptprc:DsRed);tcima/b het","a/+; b/+; YFP/+","DNK/MHM","25","BREEDING STOCK","SD","DsRed+"
"J4-2_F6",27857,"26-Jan-2024","Tg(lyz:EGFP) outx tcima/b mutant","GFP/+;a/+;b/+","DNK/MHM","40","BREEDING STOCK","SD","EGFP+"
"J4-2_F7",26037,"16-May-2023","Tg(hsp70:TCIM-2A-EGFP-L3); tcima/b het","GFP/+; a/+; b/+","DNK","30","Breeding stock","JA","Breeding stock"
"J4-2_F8",28844,"10-Jun-2024","Tg(lck:lck-eGFP) outx tcima/b mutant","a/+; b/+; YFP/+","DNK/MHM","40","BREEDING STOCK","SD","For breeding stock "
"J4-2_F9",25968,"9-May-2023","Tg(mpeg1.1:NTR);tcima/b mutant","NTR/+; a/a; b/b","DNK","30","Breeding stock","JA","cmlc2:EGFP+"
"J4-2_F10",27044,"26-Sep-2023","Tg(actb2: membrane-Citrine);tcima/b mutant","Citrine/+; a/a, b/b","DNK/MHM","40","BREEDING STOCK","SD","For breeding stock"
"J4-2_G1",29198,"30-Jul-2024","Tg(hsp70:hSPP1-2A-EGFP-L1) Tg+","GFP/+","DNK/MHM","40","GENOTYPE","SD","Lens GFP+, F2"
"J4-2_G2",29199,"30-Jul-2024","Tg(hsp70: hSPP1-2A-EGFP-L1) Tg-","+/+","DNK/MHM","40","GENOTYPE","SD","Lens GFP-, F2"
"J4-2_G3",29200,"30-Jul-2024","Tg(hsp70: hSPP1-2A-EGFP-L2","GFP/+","DNK/MHM","40","GENOTYPE","SD","Lens GFP+, F2"
"J4-2_G4",29201,"30-Jul-2024","Tg(hsp70: hSPP1-2A-EGFP-L2) Tg-","+/+","DNK/MHM","40","GENOTYPE","SD","Lens GFP-, F2"
"J4-2_G5",29202,"30-Jul-2024","Tg(hsp70: hSPP1-2A-EGFP-L3) Tg+","GFP/+","DNK/MHM","40","GENOTYPE","SD","Lens GFP+, F2"
"J4-2_G6",29203,"30-Jul-2024","Tg(hsp70: hSPP1-2A-EGFP-L3) Tg-","+/+","DNK/MHM","40","GENOTYPE","SD","Lens GFP-, F2"
"J4-2_G7",29250,"06-Aug-2024","Tg(hsp70l:tcima-3xFlag-2A-EGFP-L1)","GFP+","DNK/MHM","30","GENOTYPE","SD","Lens GFP+"
"J4-2_G8",29037,"08-Jul-2024","tcima/b het outx tcima/b mutant","a/a or a/+ and b/b or b/+","DNK/MHM","40","GENOTYPE , FOR SURGERY","SD","For surgery and breeding stocks"
"J4-2_G9",29037,"08-Jul-2024","tcima/b het outx tcima/b mutant","a/a or a/+ and b/b or b/+","DNK/MHM","40","GENOTYPE , FOR SURGERY","SD","For surgery and breeding stocks"
"J4-2_G10",29037,"08-Jul-2024","tcima/b het outx tcima/b mutant","a/a or a/+ and b/b or b/+","DNK/MHM","40","GENOTYPE , FOR SURGERY","SD","For surgery and breeding stocks"
"J4-3_A1",23865,"21-Jul-2022","bach1a Breeders","bach1a-/- ; bach1b-/+","CW/DNK/MHM","10","BREEDING STOCK","JC","Enter notes"
"J4-3_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_A4",27645,"14-Dec-2023","AB*","WT","CW/MHM","20","Breeding stock","SD","For outcrossing"
"J4-3_A5",26416,"7-Jul-2023","bach1a-/-;bach1b-/+ outx bach1a-/+;bach1b-/-","a-/- ; b-/-","CW/MHM","20","Breeding stock","JA","Enter Notes"
"J4-3_A6",26673,"10-Aug-2023","sox2-2A-sfGFP/+ ; bach1a-/- ; bach1b-/+","GFP/+","CW/MHM","11","BREEDING STOCK","SC","Outcross to bach1a/b -/- ; -/-"
"J4-3_A7",26714,"17-Aug-2023","Tg(hsp70:BACH1-2A-EGFP-L1c) Tg+","GFP/+","CW/MHM","20","SURGERY","JF","Lens GFP+"
"J4-3_A8",25649,"6-Apr-2023","EKAB","wt","VMS","6","SURGERY","SD","Enter Notes"
"J4-3_A9",24091,"30-Aug-2022","hsp70:BACH1-2A-EGFP-L1C","Tg+","Enter owner name","10","BREEDING STOCK","JB","Enter notes"
"J4-3_A10",23865,"21-Jul-2022","bach1a/b Double Het","-/+ ; -/+","CW/DNK/MHM","10","Euthanize","JC","Euthanize after new stock established"
"J4-3_A11",NA,"","","","",NA,"","",""
"J4-3_A12",27644,"14-Dec-2023","bach1a-/-;bach1b-/+ outx bach1a-/+;bach1b-/-","bach1a.b+/-","CW/MHM","5","SURGERY","SD","experiments tbd / possibly cDNA generation"
"J4-3_A13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_A14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_A15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_B1",27718,"03-Jan-2024","bach1a-del dgRNP injected","F0/F0","DNK/MHM","2","BREEDING STOCK","SD","male #17"
"J4-3_B2",27719,"03-Jan-2024","bach1b-del dgRNP injected","F0/F0","DNK/MHM","2","BREEDING STOCK","SD","Female #2"
"J4-3_B3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_B5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_B6",NA,"","","","",NA,"","",""
"J4-3_B7",NA,"","","","",NA,"","",""
"J4-3_B8",NA,"","","","",NA,"","",""
"J4-3_B9",NA,"","","","",NA,"","",""
"J4-3_B10",NA,"","","","",NA,"","",""
"J4-3_B11",27222,"25-Oct-23","Sox2-2a-sfGFP","+/-","MHM/RM","4","GENOTYPE","SB","GFP+ for Ridim"
"J4-3_B12",NA,"","","","",NA,"","",""
"J4-3_B13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_B14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_B15",27726,"08-Jan-2024","stl464 gpr126","-/-","MHM/RM","10","GENOTYPE","SB","Extra Mutants"
"J4-3_C1",27221,"26-Oct-2023","EKAB","WT","CW/MHM","40","SURGERY","SD","TBD"
"J4-3_C2",27221,"26-Oct-2023","EKAB","WT","CW/MHM","40","SURGERY","SD","TBD"
"J4-3_C3",28019,"20-Feb-2024","bach1a-/-;bach1b-/+ outx bach1a-/+;bach1b-/-","Enter genotype","CW/MHM","160","GENOTYPE","SD","Genotype for bach1a/b+/- and bach1a/b-/-"
"J4-3_C4",28317,"20-Mar-2024","sox2-2a-sfGFP ; bach1a/b+/- inX","+/+ or +/- or -/-","CW/MHM","200","GENOTYPE","SD","GFP+ ; Genotype for +/+ and -/-"
"J4-3_C5",26674,"10-Aug-2023","bach1a-/+;bach1b-/- outx AB","+/- ; +/-","CW/MHM","25","BREEDING STOCK","SD","Breeding stock refresh"
"J4-3_C6",28288,"19-Mar-2024","bach1a-del F0 #17 male X bach1b-del F0 #2 female","??","DNK/CW/MHM","15","BREEDING STOCK","SD","Inx for double het / double Mut"
"J4-3_C7",27645,"14-Dec-2023","AB*","WT","CW/MHM","20","Breeding stock","SG","For outcrossing"
"J4-3_C8",28628,"01-May-2024","stl464 gpr126","+/+ or +/- or -/-","MHM/RM","16","GENOTYPE","SD","genotype"
"J4-3_C9",28628,"01-May-2024","stl464 gpr126","+/+ or +/- or -/-","MHM/RM","16","GENOTYPE","SD","genotype"
"J4-3_C10",27750,"10-Jan-2024","stl464:gpr126+/-;sox2-2A-sfGFP+/-","+/+ or +/-","MHM/RM","40","GENOTYPE","SD","genotype for gpr126;RFP+"
"J4-3_D1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_D2",28628,"01-May-2024","stl464 gpr126","+/+ or +/- or -/-","MHM/RM","16","GENOTYPE","SD","genotype"
"J4-3_D3",28628,"01-May-2024","stl464 gpr126","+/+ or +/- or -/-","MHM/RM","16","GENOTYPE","SD","genotype"
"J4-3_D4",28628,"01-May-2024","stl464 gpr126","+/+ or +/- or -/-","MHM/RM","16","GENOTYPE","SD","genotype"
"J4-3_D5",27644,"14-Dec-2023","bach1a-/-;bach1b-/+ outx bach1a-/+;bach1b-/-","bach1a.b-/-","CW/MHM","20","SURGERY","SD","experiments tbd / possibly cDNA generation"
