"Tank.Name","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Responsible","Number.of.fish","Experiment.label","Food.label","Notes"
"J4-1_F7",23340,"27-Apr-2022","olig2:GFP +/+","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F8",24126,"7-Sep-2022","ubi:nRSG +/+","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F9",23032,"3-Mar-2022","stl654:Tg(HS:twist1a-2A-GFP-L3A","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F10",26224,"16-Jun-2023","sox2-2A-sfGFP/+;casper","GFP/+","MHM/RM","40","GENOTYPE","SD","Enter notes"
"J4-1_G1",23838,"19-Jul-2022","rab5c:eGFP","Enter genotype","RM/MHM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G2",25958,"9-May-2023","Tg(pdgfrb Gal4 UAS:RFP)","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G3",25697,"11-Apr-2023","ub:switch(GSR) GFP+/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G4",23337,"28-Apr-2023","ddit4-M1-L2 +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G5",26228,"16-Jun-2023","sox-2A-CreER; Casper","Enter genotype","MHM/RM","80","GENOTYPE","SD","Enter notes"
"J4-1_G6",24070,"26-Aug-2022","Sox2-2A-CreER CRE_______","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G7",NA,"","","","",NA,"","",""
"J4-1_G8",25701,"11-Apr-2023","prkdc -/-;il2rga -/-;wt","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G9",24625,"17-Nov-2022","Sox2-2A-sfGFP +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_G10",25880,"27-Apr-2023","ctgfa+/-;prkdc;il2rga-/- x prkdc;il2rga-/-","Enter genotype","MHM/RM","30","Enter Experiment Label","Enter food label","ctgfa+/-;skid-/- geno confirmed"
"J4-2_A1",24772,"6-Dec-2022","mpeg1.1-2A-CreERT2-L1 outx ubi:nRSG","nR/+; JF/+","DNK","15","Breeding stock","JA","JF+ from cross 3 and 4"
"J4-2_A2",23864,"21-Jul-2022","mpeg:CreERT2-L8; nRSG (Cre+)","nR/+; Cre/+","DNK","15","Breeding stock","JA","nRSG+"
"J4-2_A3",23109,"15-Mar-2022","tnfa:emGFP; mfap4:tdTomato-CAAX (tdTom+)","GFP/+; tdTom/+","DNK","15","Breeding stock","JA","lens GFP+"
"J4-2_A4",23268,"12-Apr-2022","lyz:EGFP; tcima/b het","GFP/+; a/+; b/+","DNK","15","Breeding stock","JA","EGFP+"
"J4-2_A5",23597,"14-Jun-2022","mpeg:YFP; tcima/b het","YFP/+; a/+; b/+","DNK","15","Breeding stock","JA","Enter notes"
"J4-2_A6",23867,"21-Jul-2022","mpeg:YFP; mfap4:tdTomato; tcima/b het","YFP/+; tdTom/+; a/+; b/+","DNK","15","Breeding stock","JA","YFP+"
"J4-2_A7",23707,"30-Jun-2022","mpeg1.1:NTR-IRES-EGFP; tcima/b mut","NTR/+; a/+; b/+","DNK","15","Breeding stock","JA","cmlc2:EGFP+"
"J4-2_A8",22879,"1-Feb-2022","zfp36l1a/b het; mpeg:YFP","YFP/+; a/+; b/+","DNK","15","Breeding stock","JA","YFP+"
"J4-2_A9",NA,"","","","",NA,"","",""
"J4-2_A10",NA,"","","","",NA,"","",""
"J4-2_A11",NA,"","","","",NA,"","",""
"J4-2_A12",NA,"","","","",NA,"","",""
"J4-2_A13",NA,"","","","",NA,"","",""
"J4-2_A14",NA,"","","","",NA,"","",""
"J4-2_A15",NA,"","","","",NA,"","",""
"J4-2_B1",23482,"24-May-2022","apoeb stl673/+ het","-/+","DNK","15","Breeding stock","JA","Enter Notes"
"J4-2_B2",23483,"24-May-2022","apoeb stl674/+ het","-/+","DNK","15","Breeding stock","JA","Enter Notes"
"J4-2_B3",22881,"1-Feb-2022","junbb (stl671/+) het","-/+","DNK","15","Breeding stock","JA","Enter Notes"
"J4-2_B4",23484,"24-May-2022","pfkfb1 1_2 (stl675) het","-/+","DNK","15","Breeding stock","JA","Enter Notes"
"J4-2_B5",23486,"24-May-2022","stab1 1_1 het","-/+","DNK","15","Breeding stock","JA","Enter Notes"
"J4-2_B6",NA,"","","","",NA,"","",""
"J4-2_B7",NA,"","","","",NA,"","",""
"J4-2_B8",NA,"","","","",NA,"","",""
"J4-2_B9",NA,"","","","",NA,"","",""
"J4-2_B10",NA,"","","","",NA,"","",""
"J4-2_B11",NA,"","","","",NA,"","",""
"J4-2_B12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_B15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_C1",24637,"15-Nov-2022","Tg(mpeg1.1:tdTomato);Tg(gfap:EGFP)","GFP/+; tdTom/+","DNK","30","FOR SURGERY","JA","tdTom+EGFP+; for tissue clearing"
"J4-2_C2",24768,"6-Dec-2022","Tg(mpeg1.1:YFP)","YFP/+","DNK","30","FOR SURGERY","JA","YFP+, for phagocytosis assays"
"J4-2_C3",26165,"6-Jun-2023","Tg(mpeg1.1:NTR-IRES-EGFP) Tg+","NTR/+","DNK","10","FOR SURGERY","SD","cmlc2:EGFP+"
"J4-2_C4",26166,"6-Jun-2023","Tg(mpeg1.1:NTR-IRES-EGFP) Tg-","+/+","DNK","40","FOR SURGERY","SD","cmlc2:EGFP-"
"J4-2_C5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_C6",26389,"6-Jul-2023","Tg(mpeg1.1:NTR);tcima/b mutant outx tcima/b het","Enter genotype","DNK","40","GENOTYPE","SD","cmlc2:EGFP+"
"J4-2_C7",26390,"6-Jul-2023","Tg(mpeg1.1:NTR);tcima/b mutant outx tcima/b het","Enter genotype","DNK","40","GENOTYPE","SD","cmlc2:EGFP-"
"J4-2_C8",26419,"11-Jul-2023","Tg(mpeg1.1:NTR);tcima/b mutant outx tcima/b mut","Enter genotype","DNK","40","GENOTYPE","SD","cmlc2:EGFP+"
"J4-2_C9",26304,"27-Jun-2023","Tg(mpeg1.1:NTR);tcima/b mutant outx tcima/b het","NTR-; a/?; b/?","DNK","40","GENOTYPE , FOR SURGERY","SD","cmlc2:EGFP-"
"J4-2_C10",26303,"27-Jun-2023","Tg(mpeg1.1:NTR);tcima/b mutant outx tcima/b het","NTR+; a/?; b/?","DNK","40","GENOTYPE , FOR SURGERY","SD","cmlc2:EGFP+"
"J4-2_D1",25449,"13-Mar-2023","Tg(mpeg1.1:NTR); tcima/b mut","NTR/+; a/a; b/b","DNK","30","FOR TRANSPLANTS","JA","cmlc2:EGFP+"
"J4-2_D2",25968,"9-May-2023","Tg(mpeg1.1:NTR);tcima/b mutant","NTR/+; a/a; b/b","DNK","30","FOR TRANSPLANTS","JA","cmlc2:EGFP+"
"J4-2_D3",26165,"6-Jun-2023","Tg(mpeg1.1:NTR-IRES-EGFP) Tg+","NTR/+","DNK","20","FOR TRANSPLANTS","SD","cmlc2:EGFP+"
"J4-2_D4",26165,"6-Jun-2023","Tg(mpeg1.1:NTR-IRES-EGFP) Tg+","NTR/+","DNK","10","FOR TRANSPLANTS","SD","cmlc2:EGFP+"
"J4-2_D5",25495,"20-Mar-2023","Tg(actb2:membrane-Citrine) inx","Citrine/+","DNK","30","FOR TRANSPLANTS","JA","Citrine+"
"J4-2_D6",26164,"6-Jun-2023","Tg(actb2:membrane-Citrine);tcima/b het outx tcima/b mutant","Citrine/+; a/+; b/+","DNK","20","TRANSPLANT","SD","Citrine+"
"J4-2_D7",26164,"6-Jun-2023","Tg(actb2:membrane-Citrine);tcima/b het outx tcima/b mutant","Citrine/+; a/a; b/b","DNK","20","TRANSPLANT","SD","Citrine+"
"J4-2_D8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_D9",24544,"15-Nov-2022","tcima-/-;tcimb-/+ outx tcima-/+;tcimb-/- (Double het)","a/+; b/+","DNK","30","FOR SURGERY","JA","Enter Notes"
"J4-2_D10",24544,"15-Nov-2022","tcima-/-;tcimb-/+ outx tcima-/+;tcimb-/- (Double mut)","a/a; b/b","DNK","30","FOR SURGERY","JA","Enter Notes"
"J4-2_E1",25965,"9-May-2023","Tg(mpeg1.1:YFP)","YFP/+","DNK","30","Breeding stock","JA","YFP+"
"J4-2_E2",25964,"9-May-2023","Tg(mpeg1.1:tdTomato)","tdTom/+","DNK","30","Breeding stock","JA","tdTomato+"
"J4-2_E3",25966,"9-May-2023","Tg(mpeg1.1:NTR-IRES-EGFP)","NTR/+","DNK","30","Breeding stock","JA","cmlc2:EGFP+"
"J4-2_E4",25495,"20-Mar-2023","Tg(actb2:membrane-Citrine)","Citrine/+","DNK","30","Breeding stock","JA","Citrine+"
"J4-2_E5",25493,"20-Mar-2023","Tg(hsp70:TCIM-2A-EGFP-L3) Tg+","GFP/+","DNK","30","Breeding stock","JA","lens GFP+"
"J4-2_E6",25967,"9-May-2023","Tg(lyz:EGFP)","GFP/+","DNK","30","Breeding stock","JA","EGFP+"
"J4-2_E7",23108,"15-Mar-2022","mpeg:YFP; mfap4:tdTomato-CAAX (tdTom+)","YFP/+; tdTom/+","DNK","30","Breeding stock","JA","YFP+"
"J4-2_E8",24286,"3-Oct-2022","Tg(rag2:eGFP) inx","GFP/+","DNK","30","Breeding stock","JA","from Traver lab, eGFP+"
"J4-2_E9",24287,"3-Oct-2022","Tg(lck:lck-eGFP); roy-/+ inx","GFP/?; roy/?","DNK","30","Breeding stock","JA","from Traver lab, eGFP+, mCherry-"
"J4-2_E10",24770,"6-Dec-2022","Tg(lck:NLS-mCherry;cmlc2:EGFP)","GFP/+","DNK","30","Breeding stock","JA","cmlc2:EGFP+"
"J4-2_F1",23991,"9-Aug-2022","tcima/b het","a/+; b/+","DNK","30","Breeding stock","JA","Enter Notes"
"J4-2_F2",23991,"9-Aug-2022","tcima/b mutant","a/a; b/b","DNK","30","Breeding stock","JA","Enter Notes"
"J4-2_F3",23991,"9-Aug-2022","tcima A BREEDERS (a-/-;b-/+)","a/a; b/+","DNK","30","Breeding stock","JA","Enter Notes"
"J4-2_F4",23991,"9-Aug-2022","tcima B BREEDERS (a-/+;b-/-)","a/+; b/b","DNK","30","Breeding stock","JA","Enter Notes"
"J4-2_F5",26037,"16-May-2023","Tg(hsp70:TCIM-2A-EGFP-L3); tcima/b het","GFP/+; a/+; b/+","DNK","30","Breeding stock","JA","Enter Notes"
"J4-2_F6",25544,"27-Mar-2023","Tg(actb2:membrane-Citrine); tcima/b het","Citrine/+; a/+; b/+","DNK","30","Breeding stock","JA","cmlc2:EGFP- ; EGFP+"
"J4-2_F7",25968,"9-May-2023","Tg(mpeg1.1:NTR);tcima/b mutant","NTR/+; a/a; b/b","DNK","30","Breeding stock","JA","cmlc2:EGFP+"
"J4-2_F8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-2_F9",NA,"","","","",NA,"","",""
"J4-2_F10",23266,"12-Apr-2022","Tu","Wildtype","DNK","30","Breeding stock","Enter food label","Enter Notes"
"J4-2_G1",26399,"6-Jul-2023","Tg(hsp70:BACH1-2A-EGFP-L1c) Tg-","Tg-","CW/MHM","40","SURGERY","SD",""
"J4-2_G2",26399,"6-Jul-2023","Tg(hsp70:BACH1-2A-EGFP-L1c) Tg-","Tg-","CW/MHM","40","SURGERY","SD",""
"J4-2_G3",26398,"6-Jul-2023","Tg(hsp70:BACH1-2A-EGFP-L1c) Tg+","GFP/+","Enter owner name","40","SURGERY","SD",""
"J4-2_G4",26416,"7-Jul-2023","bach1a-/-;bach1b-/+ outx bach1a-/+;bach1b-/-","-/+;-/+ or -/-;-/-","CW/MHM","40","GENOTYPE , FOR SURGERY","SD","Genotype for double het and double mut"
"J4-2_G5",26416,"7-Jul-2023","bach1a-/-;bach1b-/+ outx bach1a-/+;bach1b-/-","-/+;-/+ or -/-;-/-","CW/MHM","160","GENOTYPE , FOR SURGERY","SD","Genotype for double het and double mut"
"J4-2_G6",NA,"","","","",NA,"","",""
"J4-2_G7",NA,"","","","",NA,"","",""
"J4-2_G8",25761,"17-Apr-2023","Tg(mpeg1.1:YFP); zfp36l1a/b het outx AB","YFP/+; a/?; b/?","DNK","30","GENOTYPE , BREEDING STOCK","JA","YFP+"
"J4-2_G9",25761,"17-Apr-2023","Tg(mpeg1.1:YFP); zfp36l1a/b het outx AB","YFP/+; a/?; b/?","DNK","30","GENOTYPE , BREEDING STOCK","JA","YFP+"
"J4-2_G10",26036,"16-May-2023","zfp36l1a-/+;zfp36l1b-/- outx AB","a/?; b/?","DNK","30","GENOTYPE , BREEDING STOCK","JA","Enter Notes"
"J4-3_A1",NA,"","","","",NA,"","",""
"J4-3_A2",NA,"","","","",NA,"","",""
"J4-3_A3",NA,"","","","",NA,"","",""
"J4-3_A4",NA,"","","","",NA,"","",""
"J4-3_A5",NA,"","","","",NA,"","",""
"J4-3_A6",NA,"","","","",NA,"","",""
"J4-3_A7",NA,"","","","",NA,"","",""
"J4-3_A8",NA,"","","","",NA,"","",""
"J4-3_A9",NA,"","","","",NA,"","",""
"J4-3_A10",NA,"","","","",NA,"","",""
"J4-3_A11",NA,"","","","",NA,"","",""
"J4-3_A12",NA,"","","","",NA,"","",""
"J4-3_A13",24767,"15-Nov-2022","bach1b Breeders","bach1a-/+ ; bach1b-/-","CW/MHM","2","BREEDING STOCK","JA",""
"J4-3_A14",24767,"15-Nov-2022","bach1a Breeders","bach1a-/- ; bach1b-/+","CW/MHM","10","BREEDING STOCK","JA",""
"J4-3_A15",24538,"3-Nov-2022","Tg(hpla:GFP) +/-","GFP/+","LZ/MHM","10","SURGERY","SC",""
"J4-3_B1",NA,"","","","",NA,"","",""
"J4-3_B2",NA,"","","","",NA,"","",""
"J4-3_B3",NA,"","","","",NA,"","",""
"J4-3_B4",NA,"","","","",NA,"","",""
"J4-3_B5",NA,"","","","",NA,"","",""
"J4-3_B6",NA,"","","","",NA,"","",""
"J4-3_B7",NA,"","","","",NA,"","",""
"J4-3_B8",NA,"","","","",NA,"","",""
"J4-3_B9",NA,"","","","",NA,"","",""
"J4-3_B10",NA,"","","","",NA,"","",""
"J4-3_B11",24091,"30-Aug-2022","hsp70:BACH1-2A-EGFP-L1C","Tg+","CW/MHM","10","BREEDING STOCK","JB",""
"J4-3_B12",NA,"","","","",NA,"","",""
"J4-3_B13",25354,"7-Mar-2023","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/+ or +/+ ; RFP/+","LZ/MHM","6","SURGERY","JB",""
"J4-3_B14",24538,"3-Nov-2022","Tg(hpla:GFP) +/-","GFP/+","LZ/MHM","10","SURGERY","SC",""
"J4-3_B15",NA,"","","","",NA,"","",""
"J4-3_C1",25354,"7-Mar-2023","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_C2",25354,"7-Mar-2023","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_C3",25422,"14-Mar-2023","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_C4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-3_C5",25422,"14-Mar-2023","sox2-2A-CreERT2; ubi:nRSG","Cre/-;RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_C6",25354,"7-Mar-2023","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/-;RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_C7",25422,"7-Mar-2023","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/-;RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_C8",25422,"7-Mar-2023","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/-;RFP/+","LZ/MHM","17","SURGERY","SC",""
"J4-3_C9",23926,"28-Jul-2022","(-4.9mstnb:Cre-ERT2)-L11","Cre/+ or +/+","VMS/MHM","40","BREEDING STOCK","SD","Enter notes"
"J4-3_C10",23927,"28-Jul-2022","(-4.9mstnb:Cre-ERT2)-L11; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM","40","SURGERY","SD",""
"J4-3_D1",NA,"","","","",NA,"","",""
"J4-3_D2",26293,"27-Jun-2023","hapln1b:eGFP","Enter genotype","MHM/RM","15","SURGERY","SB","cross from Q"
"J4-3_D3",NA,"","","","",NA,"","",""
"J4-3_D4",26294,"27-Jun-2023","hapln1b +/-","+/-","MHM/RM","25","Stocks","SC","Stocks for RM"
"J4-3_D5",NA,"","","","",NA,"","",""
"J4-3_D6",NA,"","","","",NA,"","",""
"J4-3_D7",NA,"","","","",NA,"","",""
"J4-3_D8",26293,"27-Jun-2023","hapln1b:eGFP","Enter genotype","MHM/RM","25","Breeding stock","SD","cross from Q"
"J4-3_D9",26262,"22-Jun-2023","hapln1a","+/+/ or +/-","MHM/RM","40","GENOTYPE","SD","from Q room"
"J4-3_D10",26262,"20-Jun-2023","hapln1a","+/+ or +/-","MHM/RM","40","GENOTYPE","SD","From Q"
"J4-3_E1",23558,"7-Jun-2022","j1784:DCT-1:GFP +/-","GFP/+","MHM/RM","40","BREEDING STOCK","SD",""
"J4-3_E2",26298,"27-Jun-2023","Tg(actc1b:NTR-2A-mcherry) +/-","RFP+","MHM/RM","40","GENOTYPE","SD",""
"J4-3_E3",26298,"27-Jun-2023","Tg(actc1b:NTR-2A-mcherry) +/-","RFP/+","Enter owner name","40","GENOTYPE","SD","for Lili"
"J4-3_E4",26298,"27-Jun-2023","Tg(actc1b:NTR-2A-mcherry) +/-","RFP/+","MHM/RM","1","GENOTYPE","SD",""
"J4-3_E5",26298,"27-Jun-2023","Tg(actc1b:NTR-2A-mcherry) +/-","RFP/+","MHM/RM","40","GENOTYPE","SD",""
"J4-3_E6",26298,"27-Jun-2023","Tg(actc1b:NTR-2A-mcherry) +/-","RFP/+","MHM/RM","1","GENOTYPE","SD",""
