"No..of.Tanks","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Fish.number","Responsible","Female.Parent.Genotype","Male.Parent.Genotype","Female.Parent.Stock","Male.Parent.Stock","Notes"
1,"12758","13-Sep-17"," -4-ctgfa:GFP - L4","Enter genotype",25,"MHM","From Q (Duke stock # 8625, born 5/17)","","","","incross, G+"
1,"12759","13-Sep-17","hsp:id4-GFP","Enter genotype",50,"MHM","From Q (Duke stock # 8165, born 12/16)","","","","G+"
1,"12760","13-Sep-17","e1b:GFP","Enter genotype",80,"MHM","From Q (Duke stock # 8515, born 3/17)","","","","To euthanize 10/19/17"
1,"12761","13-Sep-17","hsp:DN-hum-FN ","Enter genotype",80,"MHM","From Q (Duke stock # 8041, born 11/16)","","","","incross, unscreened"
1,"12762","13-Sep-17","cited2-M1-L1","Enter genotype",0,"MHM","From Q (Duke stock # 8489, born 5/17)","","","","F Founder (PCR+) X WT, unscreened"
1,"12763","13-Sep-17","mm501","Enter genotype",80,"MHM","From Q (Duke stock # 8165, born 12/16)","","","","To euthanize 10/19/17"
1,"12764","13-Sep-17","fn1a-mut","Enter genotype",0,"MHM","From Q (Duke stock # 8096, born 12/16)","","","","mut M x het F, unscreened"
1,"12869","21-Sep-17","tc1-M2-L2","Enter genotype",100,"MHM","","","","","Founder#13 X WT, unscreened"
1,"12870","21-Sep-17","tc1b-M1-L1","Enter genotype",100,"MHM","","","","","Founder#5 X WT "
1,"12919","27-Sep-17","tc1-M2-L1 ","Enter genotype",100,"MHM","","","","","Founder#11XWT, screeened"
1,"12920","27-Sep-17","tc1-M2-L1 ","Enter genotype",90,"MHM","","","","","Founder#11XWT, unscreeened"
1,"12921","27-Sep-17","tefa-M1-L1","Enter genotype",50,"MHM","","","","","hetxhet, unscreened"
1,"12922","27-Sep-17","tefa-M1-L2","Enter genotype",80,"MHM","","","","","Founder#7XWT, unscreened"
1,"12937","4-Oct-17","pax6b:GFP","Enter genotype",100,"MHM","","","","","incross, G+"
1,"12938","4-Oct-17","olig2:GFP","Enter genotype",100,"MHM","","","","","incross, G+"
1,"12939","4-Oct-17","huC:GFP","Enter genotype",64,"MHM","","","","","incross, G+"
1,"12940","4-Oct-17","neuroD:GFP","Enter genotype",100,"MHM","","","","","incross, G+"
1,"12941","4-Oct-17","isl1:GFP","Enter genotype",100,"MHM","","","","","incross, G+"
1,"12942","4-Oct-17","pET1:GFP","Enter genotype",64,"MHM","","","","","incross, G+"
1,"13118","10-Oct-17","AB*","Enter genotype",35,"MHM","AB*","AB*","","",""
1,"13127","14-Oct-17","EK","Enter genotype",40,"MHM","EK","EK","","","EK mating stock"
1,"13128","14-Oct-17","huC:mCherry-NTR-L8 (R+)","Enter genotype",20,"MHM","AB*","mm401-L8","","","R+ , mating stock"
1,"13129","14-Oct-17","huC:mCherry-NTR-L1 (R+)","Enter genotype",18,"MHM","mm401-L1","EK","","","R+ , mating stock"
1,"13130","14-Oct-17","huC:mCherry-NTR-L1 (R+)","Enter genotype",30,"MHM","mm401-L1","EK","","","R+ , exp group"
1,"13131","14-Oct-17","huC:mCherry-NTR-L1 (R-)","Enter genotype",30,"MHM","mm401-L1","EK","","","R- , exp group"
1,"13133","12-Oct-17","hsp:mCherry-2A-YAP-587A","Enter genotype",100,"MHM","hsp:mCherry-2A-YAP-587A","AB*","","","unscreened"
1,"13134","12-Oct-17","hsp:DN-YAP-2A-mCherry","Enter genotype",100,"MHM","hsp:DN-YAP-2A-mCherry","EKAB","","","unscreened"
1,"13201","18-Oct-17","AB","Enter genotype",99,"VW/MHM ","","","","",""
1,"13202","18-Oct-17","AB","Enter genotype",50,"VW/MHM ","","","","",""
1,"13203","18-Oct-17","AB","Enter genotype",35,"VW/MHM ","","","","",""
1,"13204","18-Oct-17","AB","Enter genotype",20,"VW/MHM ","","","","",""
1,"13205","18-Oct-17","AB","Enter genotype",20,"VW/MHM ","","","","",""
1,"13206","18-Oct-17","AB","Enter genotype",10,"VW/MHM ","","","","",""
1,"13298","23-Oct-17","hb9:GFP","Enter genotype",30,"MHM","hb9:GFP","hb9:GFP","","","hb9 incross, G++"
1,"13299","23-Oct-17","hb9:GFP","Enter genotype",30,"MHM","hb9:GFP","hb9:GFP","","","hb9 incross, G+"
1,"13300","23-Oct-17","huC:mCherry-NTR - L2","Enter genotype",6,"MHM","huC:mCherry-NTR - L2","EKAB","","","R+"
1,"13301","23-Oct-17","mstnb-het","Enter genotype",35,"MHM","mstnb het","EK","","","unscreened"
1,"13302","23-Oct-17","mstnb-het","Enter genotype",36,"MHM","mstnb het","EK","","","unscreened"
1,"13362","30-Oct-17","EK","Enter genotype",30,"MHM","EK","EK","","","EK mating stock"
1,"13363","30-Oct-17","tc1a-M1-L1","Enter genotype",80,"MHM","mm801 F#3","EKAB","","","F1, unscreened"
1,"13364","30-Oct-17","tc1a-M1-L2","Enter genotype",80,"MHM","mm801 F#3","EKAB","","","F1, unscreened"
1,"13365","30-Oct-17","tefb-M2-L1","Enter genotype",80,"MHM","mm604 F#10","EKAB","","","F1, unscreened"
1,"13366","30-Oct-17","ddit4-M1-L1","Enter genotype",160,"MHM","mm901-L1","mm901-L1","","","clutch a, unscreened"
1,"13367","30-Oct-17","ddit4-M1-L1","Enter genotype",80,"MHM","mm901-L1","mm901-L1","","","clutch b, unscreened"
1,"13368","30-Oct-17","ddit4-M1-L2","Enter genotype",80,"MHM","mm901-L1","mm901-L1","","","clutch a, unscreened"
1,"13369","30-Oct-17","ddit4-M1-L2","Enter genotype",80,"MHM","mm901-L1","mm901-L1","","","clutch b, unscreened"
1,"13370","30-Oct-17","ddit4-M1-L2","Enter genotype",80,"MHM","mm901-L1","mm901-L1","","","clutch c, unscreened"
1,"13371","30-Oct-17","kur-TM304","Enter genotype",67,"MHM","mm301 mut ","mm301 het","","","MmutXFhet, unscreened"
1,"13372","30-Oct-17","Ub:switch","Enter genotype",4,"MHM","UBS","UBS","","","incross, G+"
1,"13373","30-Oct-17","lama5 Tg","Enter genotype",35,"MHM","Lama5 TG","EKAB","","","unscreened"
1,"13446","7-Nov-17","Ub:switch","Enter genotype",25,"MHM","UBS","UBS","","","incross, G++, to confirm"
1,"13447","7-Nov-17","Ub:switch","Enter genotype",60,"MHM","UBS","UBS","","","incross, G+, to confirm"
1,"13448","7-Nov-17","ctgfa:CreER-L7","Enter genotype",60,"MHM","mm505-L7","EKAB","","","Cre + by geno"
1,"13464","14-Nov-17","Cited2-M2-L1","Enter genotype",80,"MHM","Cited2-M2","Cited2-M2","","","incross "
1,"13465","14-Nov-17","Tc1b-M1-L4","Enter genotype",80,"MHM","EKAB","Tc1b-M1 injected","","","F#2"
1,"13466","14-Nov-17","Tc1b-M1-L2","Enter genotype",80,"MHM","EKAB","Tc1b-M1 injected","","","F#4"
1,"13467","14-Nov-17","Tc1b-M1-L3","Enter genotype",80,"MHM","EKAB","Tc1b-M1 injected","","","F#19"
1,"13468","14-Nov-17","nestin:GFP ","Enter genotype",50,"MHM","nestin:GFP","nestin:GFP","","","incross, G+"
1,"13469","14-Nov-17","huC:R-NTR- L3","Enter genotype",30,"MHM","huC:R-NTR- L3","EK","","","R+"
1,"13470","14-Nov-17","huC:R-NTR- L2","Enter genotype",8,"MHM","huC:R-NTR- L2","EK","","","R+"
1,"13626","20-Dec-17","ctgfa:GFP -L9","Enter genotype",35,"MHM","EKAB","ctgfa:GFP -L9","","","G+"
1,"13627","21-Dec-17","ctgfa:RNTR L11","Enter genotype",33,"MHM","EKAB","ctgfa:RNTR L11","","","R+"
1,"13628","22-Dec-17","hsp:ctgfa-D4-2A-GFP","Enter genotype",28,"MHM","EKAB","hsp:ctgfa-D4-2A-GFP","","","G+"
1,"13760","17-Jan-18","huC:mCh-NTR LI x Casper","Enter genotype",11,"MAT/MHM","huC:mCh-NTR-L1 ","Casper","13129","12017","R+"
1,"13761","17-Jan-18","huC:mCh-NTR L2 x Casper","Enter genotype",15,"MAT/MHM","huC:mCh-NTR L2","Casper","13300","12017","R+"
1,"13777","24-Jan-17","SJ- 996","Enter genotype",25,"RM/MHM","","","","","GFP+"
1,"13778","24-Jan-17","SJ- mybc? X 15448;996","Enter genotype",25,"RM/MHM","","","","","GFP+"
1,"13779","24-Jan-17","SJ-15266;1732 X mlp…","Enter genotype",25,"RM/MHM","","","","",""
1,"13825","30-Jan-18","j1701:TYR>GFP","Enter genotype",100,"RM/MHM","","","","",""
1,"13826","30-Jan-18","j1704:PRMD12>GFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13827","30-Jan-18","j1735:DCT-2>GFP","Enter genotype",100,"RM/MHM","","","","",""
1,"13828","31-Jan-18","j940:hs>Cas9","Enter genotype",20,"RM/MHM","","","","",""
1,"13829","31-Jan-18","Reg6; j2002:Fli>GFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13830","31-Jan-18","j944:hsp>dnFGFR1-mCherry; EF1a>GFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13831","31-Jan-18"," j1732:TYR-1>GFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13832","31-Jan-18"," j1766:GFNMB-3>GFP","Enter genotype",100,"RM/MHM","","","","",""
1,"13833","31-Jan-18"," j1784:DCT-1>GFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13834","31-Jan-18","j1786:hsp70>idh1-wildtype","Enter genotype",20,"RM/MHM","","","","",""
1,"13835","31-Jan-18"," j1787:hsp70>idh1-mutant","Enter genotype",20,"RM/MHM","","","","",""
1,"13836","31-Jan-18"," j2019:RFP>GFP responder, loxP","Enter genotype",20,"RM/MHM","","","","",""
1,"13837","31-Jan-18"," j2040:hsp70>dnFGFR1-GFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13838","31-Jan-18","j2045:sox10>RFP","Enter genotype",20,"RM/MHM","","","","",""
1,"13839","31-Jan-18","Fosl1a(tw13/tw13);fosl1b(tw14/tw14)","Enter genotype",15,"MHM","yap87A","AB","","","R+"
1,"13840","31-Jan-18","ctgfa:CreER-L1","Enter genotype",70,"MHM","mm505-L1","AB","","","To genotype"
1,"13841","31-Jan-18","ctgfa:CreER-L6","Enter genotype",70,"MHM","mm505-L6","AB","","","To genotype"
1,"13857","2-Feb-18","AB","Enter genotype",35,"MHM","AB","AB","","","Facility AB's"
1,"13876","6-Feb-18","AB:EK","Enter genotype",35,"MHM","AB","EK","13203","13127",""
1,"13877","6-Feb-18","AB","Enter genotype",35,"MHM","AB","AB","13203","13203",""
1,"13881","7-Feb-18","is1i:GFP ix","Enter genotype",40,"MHM","is1i:GFP ix","is1i:GFP ix","12941","12941","homoz"
1,"13882","7-Feb-18","olig2:GFP ix","Enter genotype",40,"MHM","olig2:GFP ix","olig2:GFP ix","12938","12938","homoz"
1,"13883","7-Feb-18","neuorD ix","Enter genotype",40,"MHM","neuorD","neuorD","12940","12940","homoz"
1,"13884","7-Feb-18","pet1:GFP ix","Enter genotype",10,"MHM","pet1:GFP ix","pet1:GFP ix","12942","12942","homoz"
1,"13885","5-Feb-17","AB inj w/ ctgfa:mch-NTR","Enter genotype",25,"MHM","AB","AB","","","yolk inj"
1,"13929","13-Feb-18","tefa_M1_L1 ix","Enter genotype",120,"MHM","tefa_M1_L1 +/-","tefa_M1_L1 +/-","12757","12757","out cross to find homo(pair2)"
1,"13930","13-Feb-18","tc1b_M1_L1 ix","Enter genotype",120,"MHM","tc1b_M1_L1 +/-","tc1b_M1_L1 +/-","12754","12754","out cross to find homo(pair1)"
1,"13931","13-Feb-18","tc1_M2_L1 ix","Enter genotype",120,"MHM","tc1_M2-L1 +/-","tc1_M2-L1 +/-","12919","12919","out cross to find homo(pair2)"
1,"13947","21-Feb-18","EK","Enter genotype",40,"MHM","EK","EK","13362","13362",""
1,"13948","22-Feb-18","mpeg:yfp X slc17a8 vol1","Enter genotype",100,"MHM","Slc17a8(vol1/+)","mpeg:yfp","","",""
1,"13949","23-Feb-18","hb9:GFP","Enter genotype",80,"MHM","hb9:GFP","hb9:GFP","13298","13298","homozygotes"
1,"13950","23-Feb-18","ub:switchGFP","Enter genotype",40,"MHM","ub:switchGFP","ub:switchGFP","13446","13446","homozygotes"
1,"13951","23-Feb-18","huc:GFP","Enter genotype",40,"MHM","AB","huc:GFP","","12939","incross for homozygotes"
1,"13961","21-Feb-18","mbp:GFPcaax","Enter genotype",40,"MHM","AB","mbp:GFPcaax","","11491",""
1,"13962","23-Feb-18","Nestin:GFP","Enter genotype",80,"MHM","Nestin:GFP +/-","Nestin:GFP +/-","13648","13648","outcross to find homozygotes"
1,"14056","6-Mar-18","shha:GFP","Enter genotype",30,"MHM","shha:GFP","shha:GFP","B8840","B8840","G+                                                Intercross.screen for homoz"
1,"14057","6-Mar-18","XIG-8A","Enter genotype",23,"MHM","XIG-8A","AB","8040","","G+                                               "
1,"14058","6-Mar-18","tefb-M2","Enter genotype",80,"MHM","AB","tefb-M2","","368",""
1,"14059","6-Mar-18","msxc:CreER-L1","Enter genotype",30,"MHM","AB","msxc:CreER-L1","","A12057","G+                                               "
1,"14070","8-Mar-18","Cited2-M2-L1","Enter genotype",120,"MHM","Cited2-M2-L1","Cited2-M2-L1","13465","13464","intercross"
1,"14071","8-Mar-18","mstnb","Enter genotype",80,"MHM","mstnb +/-","mstnb -/-","13302","13302","intercross +/- x -/-"
1,"14072","8-Mar-18"," -3-ctgfa:GFP - L1","Enter genotype",70,"MHM","AB"," -3-ctgfa:GFP - L1","","12751",""
1,"14073","8-Mar-18"," -4-ctgfa:GFP - L6","Enter genotype",70,"MHM","AB"," -4-ctgfa:GFP - L6","","12748","G+"
1,"14074","8-Mar-18"," -4-ctgfa:GFP - L4","Enter genotype",70,"MHM","AB"," -4-ctgfa:GFP - L4","","12758","G+"
1,"14075","8-Mar-18"," -4-ctgfa:GFP - L5","Enter genotype",70,"MHM","AB"," -4-ctgfa:GFP - L5","","12755","G+"
1,"14076","8-Mar-18","alpha-tub-Cre","Enter genotype",40,"MHM","AB","alpha-tub-Cre","","B8162",""
1,"14077","8-Mar-18","tph1b:CreER;ubs","Enter genotype",40,"MHM","AB","tph1b:CreER;ubs","","A12230","G+"
1,"14078","8-Mar-18","hsp:ctgfa-FL-L11","Enter genotype",80,"MHM","AB","mm511-L11","","B8679",""
1,"14079","8-Mar-18","hsp:ctgfa-FL-L1","Enter genotype",80,"MHM","AB","mm511-L1","","B8023",""
1,"14093","8-Mar-18","kur-TM304","Enter genotype",90,"MHM","AB","kur-TM304","","13371","Outcrossed to AB"
1,"14104","13-Mar-18","ptch1","Enter genotype",50,"MHM","ptch1","ptch1","B8846","B8846","G+ intercoss"
1,"14105","13-Mar-18","GFPAP:GFP","Enter genotype",22,"MHM","GFPAP:GFP","GFPAP:GFP","A13960","A13960","G+ intercoss"
1,"14106","13-Mar-18","mxsc:dsRed","Enter genotype",24,"MHM","AB","mxsc:dsRed","","B8848","R+"
1,"14107","13-Mar-18","mm503_L13","Enter genotype",21,"MHM","AB","mm503_L13","","7027","R+"
1,"14108","13-Mar-18","mm507_L2","Enter genotype",22,"MHM","mm507_L2","AB","B86258","","G+"
1,"14109","13-Mar-18","dkk1b:GFP","Enter genotype",33,"MHM","dkk1b:GFP","dkk1b:GFP","B8845","B8845","G+"
1,"14110","14-Mar-18","Tc1b-M1-L4","Enter genotype",80,"MHM","Tc1b-M1-L4 female 4","AB","13465","","female 4 PCR+ out cross"
1,"14162","27-Mar-18","mm506-L7","Enter genotype",40,"MHM","AB","mm506-L7","","B8527","G+"
1,"14163","27-Mar-18","pax6b:GFP","Enter genotype",34,"MHM","","","12937","12937","G+"
1,"14164","27-Mar-18","huC:mCh-NTR LI x Casper","Enter genotype",34,"MHM","huC:mCh-NTR LI x Casper","casper","13760","","R+ Casper +"
1,"14165","27-Mar-18","huC:mCh-NTR L2 x Casper","Enter genotype",40,"MHM","casper","huC:mCh-NTR L2 x Casper","","13760","R+ Casper +"
1,"14206","3-Apr-18","pet1:GFP  -/-","Enter genotype",12,"MHM","pet1:GFP  -/-","pet1:GFP  -/-","13884","13884","G+,homozygotes"
1,"14207","3-Apr-18","hsp:id4-GFP ","Enter genotype",40,"MHM","hsp:id4-GFP ","hsp:id4-GFP ","12759","12759","G+, intercross. Screen for homozygotes"
1,"14231","10-Apr-18","huc:mcherry-NTR-L1","Enter genotype",80,"MHM","AB","huc:mcherry-NTR-L1","","13129","R+"
1,"14232","10-Apr-18","huc:mcherry-NTR-L1","Enter genotype",80,"MHM","AB","huc:mcherry-NTR-L1","","13129","R-"
1,"14233","10-Apr-18","huc:mcherry-NTR-L2","Enter genotype",80,"MHM","AB","huc:mcherry-NTR-L2","","13300","R+"
1,"14234","10-Apr-18","huc:mcherry-NTR-L2","Enter genotype",80,"MHM","Ab","huc:mcherry-NTR-L2","","13300","R-"
1,"14282","17-Apr-18","AB:EK","Enter genotype",40,"MHM","AB","EK","","13362",""
1,"14283","17-Apr-18","ub:switch;ctgfa:CreER-L1","Enter genotype",80,"MHM","ctgfa:CreER-L1","ub:switch:GFP","13840","13950","G+, genotype for Cre"
1,"14284","17-Apr-18","ub:switch;ctgfa:CreER-L6","Enter genotype",80,"MHM","ctgfa:CreER-L6","ub:switch:GFP","13841","13950","G+, genotype for Cre"
1,"14285","17-Apr-18","ub:switch;ctgfa:CreER-L7","Enter genotype",80,"MHM","ctgfa:CreER-L7","ub:switch:GFP","13448","13950","G+, genotype for Cre"
1,"14308","17-Apr-18","hsp:DN-YAP-2A-mCherry","Enter genotype",80,"MHM","AB","hsp:DN-YAP-2A=mCherry","","13134","Heat shock @ adults to sort"
1,"14309","17-Apr-18","hsp:R-YAP87A","Enter genotype",80,"MHM","AB","hsp:R-YAP87A","","13839","Heat shock @ adults to sort"
1,"14310","20-Apr-18","hsp:id4-GFP","Enter genotype",80,"MHM","AB","hsp:id4:GFP +/-","","12759","G+"
1,"14311","20-Apr-18","hsp:id4:GFP","Enter genotype",80,"MHM","AB","hsp:id4:GFP +/-","","12759","G-"
1,"14312","20-Apr-18","pet1:GFP  -/-","Enter genotype",40,"MHM","pet1:GFP  -/-","pet1:GFP  -/-","13884","13884","G+"
1,"14313","20-Apr-18","cited2-M1-L1","Enter genotype",80,"MHM","AB","cited2-M1-L1","","12762","genotype"
1,"14329","26-Apr-18","huc:GFP","Enter genotype",43,"MHM","huc:GFP +/-","huc:GFP +/-","13951","13951","G+:screen for homozygotes"
1,"14337","27-Apr-18","kur-TM304","Enter genotype",120,"MHM","kur-TM304 +/-","kur-TM304 +/-","14093","14093","dead"
1,"14338","27-Apr-18","tefa-M1-L1","Enter genotype",75,"MHM","tefa-M1-L1 +/-","tefa-M1-L1 +/-","12757","12757","Surgery:intercross.Genotype for -/-,+/-, WT"
1,"14362","1-May-18","tefa-M2","Enter genotype",160,"MHM","AB","tefa-M2(qroom)","","","genotype"
1,"14368","2-May-18","huc:mcherry-NTR-L1","Enter genotype",80,"MHM","AB","huc:mcherry-NTR-L1","","13129","R+"
1,"14369","2-May-18","huc:mcherry-NTR-L1","Enter genotype",80,"MHM","Ab","huc:mcherry-NTR-L1","","13129","R-"
1,"14370","2-May-18","huc:mcherry-NTR-L3","Enter genotype",80,"MHM","AB","huc:mcherry-NTR-L3","","13469","R+"
1,"14371","2-May-18","huc:mcherry-NTR-L3","Enter genotype",80,"MHM","AB","huc:mcherry-NTR-L3","","13469","R-"
1,"14399","8-May-18","mm503-L13 x GFAP:GFP","Enter genotype",40,"MHM","mm503-L13","GFAP-GFP","14107","14105","R+, G+"
1,"14400","8-May-18","mm503-L13 x GFAP:GFP","Enter genotype",40,"MHM","mm503-L13","GFAP-GFP","14107","14105","G+"
1,"14401","8-May-18","mm503-L13 x GFAP:GFP","Enter genotype",40,"MHM","mm503-L13","GFAP-GFP","14107","14105","R+"
1,"14402","8-May-18","mm503-L13 x GFAP:GFP","Enter genotype",40,"MHM","mm503-L13","GFAP-GFP","14107","14105","R-, G-"
1,"14419","10-May-18","tefa-M1-L1","Enter genotype",120,"MHM","tefa-M1-L1","tefa-M1-L1","12757","12757","intercross for surgeries;genotype"
1,"14420","10-May-18","tefb-M2","Enter genotype",120,"MHM","tefb-M2","tefb-M2","14058","14058","intercross for surgeries;genotype"
1,"14422","8-May-18","AB injected w/ctgfa 1kb","Enter genotype",15,"MHM","AB","AB","","","GFP+ heart and muscle"
1,"14423","8-May-18","AB injected w/ctgfa 1kb","Enter genotype",15,"MHM","AB","AB","","","GFP- sorted from GFP+ heart and muscle"
1,"14424","8-May-18","AB injected w/ctgfa 1kb","Enter genotype",80,"MHM","AB","AB","","","GFP+ no heart or muscle"
1,"14442","11-May-18","kur-TM304","Enter genotype",90,"MHM","kur-TM304","kur-TM304","14093","14093","intercorssed PCR+ Hets"
1,"14448","16-May-18","e1b:GFP","Enter genotype",80,"MHM","AB","e1b:GFP(qroom)","","","embryos: G-, PCR+ for GFP"
1,"14449","16-May-18","mm520-L1","Enter genotype",80,"MHM","AB","mm520-L1(qroom)","","","embryos: G-, PCR+ for GFP"
1,"14450","16-May-18","mm520-L2","Enter genotype",80,"MHM","AB","mm520-L2(qroom)","","","embryos: G-, PCR+ for GFP"
1,"14498","22-May-18","tcb1-M1-L4 clucth 1","Enter genotype",67,"MHM","tcb1-M1-L4 clucth 1","tcb1-M1-L4 clucth 1","14410","14410","genotype for surgeries"
1,"14499","22-May-18","tcb1-M1-L4 clutch 2","Enter genotype",78,"MHM","tcb1-M1-L4 clutch 2","tcb1-M1-L4 clutch 2","14410","14410","genotype for surgeries"
1,"14500","23-May-18","mm503-L13 x GFAP:GFP","Enter genotype",240,"MHM","mm503-L13","GFAP-GFP","14107","14105","G+,R+"
1,"14501","23-May-18","mm503-L13 x GFAP:GFP","Enter genotype",120,"MHM","mm503-L13","GFAP-GFP","14107","14105","G+"
1,"14502","23-May-18","mm503-L13 x GFAP:GFP","Enter genotype",120,"MHM","mm503-L13","GFAP-GFP","14107","14105","R+"
1,"14503","23-May-18","mm503-L13 x GFAP:GFP","Enter genotype",120,"MHM","mm503-L13","GFAP-GFP","14107","14105","G-,R-"
1,"14526","22-May-18","AB injected ctgfa:180E","Enter genotype",120,"MHM","AB","AB","","","GFP+ at 48 hours"
1,"14558","30-May-18","tc1b-M1-L1","Enter genotype",40,"MHM","tc1b-M1-L1","tc1b-M1-L1","12754","12754","Clucth from PCR+ hets fish 11 and fish 12. "
1,"14645","5-Jun-18","ctgfa:GFP -L9","Enter genotype",120,"MHM","ctgfa:GFP-L9","AB","13626","","outcross-genotype"
1,"14646","5-Jun-18","huc:mCherry-NTR-L1;Casper x Casper","Enter genotype",80,"MHM","huc:mCherry-NTR-L1;Casper","Casper","14164","12017","R+"
1,"14647","5-Jun-18","huc:mCherry-NTR-L1;Casper x Casper","Enter genotype",80,"MHM","huc:mCherry-NTR-L1;Casper","Casper","14164","12017","R-"
1,"14648","5-Jun-18","huc:mCherry-NTR-L2;Casper x Casper","Enter genotype",80,"MHM","huc:mCherry-NTR-L2;Casper","Casper","14165","12017","R+"
1,"14649","5-Jun-18","huc:mCherry-NTR-L2;Casper x Casper","Enter genotype",80,"MHM","huc:mCherry-NTR-L2;Casper","Casper","14165","12017","R-"
1,"14704","15-Jun-18","mstnb -/- x +/-","Enter genotype",35,"MHM","mstnb -/-","mstnb +/-","14071","14071","genotype"
1,"14705","15-Jun-18","mstnb +/- x +/-","Enter genotype",80,"MHM","mstnb +/-","mstnb +/-","14071","14071","genotype"
1,"14715","19-Jun-18","tc1a-M2-L1","Enter genotype",120,"MHM","tc1a-M2-L1 +/-","tc1a-M2-L1 +/-","13931","13931","Surgery: Genotype for -/-,+/- and WT"
1,"14716","19-Jun-18","tc1b-M1-L1","Enter genotype",120,"MHM","tc1b-M1-L1 +/-","tc1b-M1-L1 +/-","13930","13930","Surgery: Genotype for -/-,+/- and WT"
1,"14717","19-Jun-19","tc1a-M2-L1;tc1b-M1-L1","Enter genotype",40,"MHM","tc1b-M1-L1 -/-","tc1a-M2-L1 -/-","13930","13931","double mutant"
1,"14718","19-Jun-19","tc1a-M2-L1;tc1b-M1-L1","Enter genotype",40,"MHM","tc1a-M2-L1 -/-","tc1b-M1-L1 -/-","13931","13930","double mutant"
1,"14772","27-Jun-18","Nestin:GFP","Enter genotype",80,"MHM","Nestin:GFP homo","Nestin:GFP homo","13962","13962","homozygotes"
1,"14823","10-Jul-18","mm520-L2","Enter genotype",40,"KT/MHM","AB","mm520-L2","13877","14450","GFP-, PCR+ for GFP"
1,"14857","19-Jul-18","mbp:caax ix","Enter genotype",15,"KT/MHM","mbp:caax","mbp:caax","13961","13961",""
1,"14858","19-Jul-18","olig2:GFP ix","Enter genotype",30,"KT/MHM","olig2:GFP","olig2:GFP","13882","13882",""
1,"14859","19-Jul-18","sox10:RFP","Enter genotype",5,"KT/MHM","mbp:GFP;sox10:RFPxmpeg:YFP","AB","13148","13877","R+"
1,"14860","19-Jul-18","mbp:GFP","Enter genotype",6,"KT/MHM","mbp:GFP;sox10:RFPxmpeg:YFP","AB","13148","13877","G+"
1,"14861","19-Jul-18","mpeg:YFP","Enter genotype",3,"KT/MHM","mbp:GFP;sox10:RFPxmpeg:YFP","AB","13148","13877","Y+"
1,"14862","19-Jul-18","mbp:GFP;sox10:RFPxmpeg:YFP","Enter genotype",9,"KT/MHM","mbp:GFP;sox10:RFPxmpeg:YFP","AB","13148","13877","R+,G+,Y+"
1,"14874","17-Jul-18","AB","Enter genotype",80,"MHM","AB","Ab","13877","13877",""
1,"14907","24-Jul-18","ctgfa -/- x AB","Enter genotype",120,"MHM","AB","ctgfa -/-","","12747",""
1,"14924","26-Jul-18","AB inj ctgfa:180E x AB M1","Enter genotype",40,"KT/MHM","AB","AB inj ctgfa:108E","13877","14526","Male 1 GFP- at d3pf"
